datetime,dhr_forecast,esn_forecast,hybrid_forecast
2020-12-31 01:00:00,0.0,0.0,0.0
2020-12-31 02:00:00,0.0,0.0,0.0
2020-12-31 03:00:00,0.0,0.0,0.0
2020-12-31 04:00:00,0.0,0.0,0.0
2020-12-31 05:00:00,0.0,0.0,0.0
2020-12-31 06:00:00,0.0,0.0,0.0
2020-12-31 07:00:00,0.0,0.0,0.0
2020-12-31 08:00:00,0.09012692677198522,0.1733733549485362,0.12342549804260562
2020-12-31 09:00:00,0.22038492731504325,0.18431984132299636,0.2059588929182245
2020-12-31 10:00:00,0.22854458898112703,0.16301800612254946,0.202333955837696
2020-12-31 11:00:00,0.1974957400124646,0.10510358536524483,0.16053887815357668
2020-12-31 12:00:00,0.1669544791645255,0.0319797678205418,0.11296459462693201
2020-12-31 13:00:00,0.1856611947953675,0.0,0.1113967168772205
2020-12-31 14:00:00,0.16434816587286727,0.0,0.09860889952372036
2020-12-31 15:00:00,0.04197614117831344,0.0,0.025185684706988065
2020-12-31 16:00:00,0.0,0.0,0.0
2020-12-31 17:00:00,0.0,0.0,0.0
2020-12-31 18:00:00,0.0,0.0,0.0
2020-12-31 19:00:00,0.0,0.0,0.0
2020-12-31 20:00:00,0.0,0.0,0.0
2020-12-31 21:00:00,0.0,0.0,0.0
2020-12-31 22:00:00,0.0,0.0,0.0
2020-12-31 23:00:00,0.0,0.0,0.0
2021-01-01 00:00:00,0.0,0.0,0.0
